YEAR Code,YEAR,AREA Code,AREA,/ITEMS,A1101_Total population (Both sexes)[person],Annotation,A1303_Total population (65 and over)[person],Annotation,A4101_Number of live births[person],Annotation,A4200_Number of deaths[person],Annotation,A5103_Number of in-migrants from other municipalities[person],Annotation,A5104_Number of out-migrants to other municipalities[person],Annotation,B1102_Total land area (Incl. the northern territories and Takeshima)[ha],Annotation,B1103_Inhabitable area[ha],Annotation,"C210710_Number of establishments (Electricity, gas, heat supply and water)[number of establishments]",Annotation,C210712_Number of establishments (Transport and postal activities)[number of establishments],Annotation,C210713_Number of establishments (Wholesale and retail trade)[number of establishments],Annotation,C3109_Area of abandoned cropland[ha],Annotation,D320303_Total welfare expenditure (Municipality)[thousand yen],Annotation,E1101_Number of kindergartens[number of kindergartens],Annotation,E2101_Number of elementary schools[number of schools],Annotation,E3101_Number of lower secondary schools[number of schools],Annotation,E4101_Number of upper secondary schools[number of schools],Annotation,F1102_(Population census) Number of employed persons[person],Annotation,"I1101_Life expectancy (0 years old, Male)[years]",Annotation,"I1102_Life expectancy (0 years old, Female)[years]",Annotation,I5101_Number of hospitals[number of hospitals],Annotation,I5102_Number of general clinics[number of clinics],Annotation,I5103_Number of dental clinics[number of clinics],Annotation,J2301_Number of welfare institutions for the aged (Questionnaire about details)[number of establishments],Annotation,K4201_Number of recognitions of criminal offenses[number of cases],Annotation
1990100000,1990,12216,Chiba-ken Narashino-shi,,"151,471",,"10,947",,***,,607,,***,,***,,***,,"2,094",,***,,***,,***,,***,,***,,20,,16,,8,,4,,"74,940",,***,,***,,***,,79,,***,,***,,"3,153",
1990100000,1990,12217,Chiba-ken Kashiwa-shi,,"347,002",,"24,559",,***,,"1,438",,***,,***,,***,,"10,015",,***,,***,,***,,***,,***,,34,,41,,20,,15,,"167,972",,***,,***,,***,,164,,***,,***,,"4,811",
1990100000,1990,12218,Chiba-ken Katsuura-shi,,"25,334",,"4,621",,***,,219,,***,,***,,***,,"3,514",,***,,***,,***,,***,,***,,1,,11,,3,,1,,"11,885",,***,,***,,***,,15,,***,,***,,352,
1990100000,1990,12219,Chiba-ken Ichihara-shi,,"257,716",,"21,600",,***,,"1,345",,***,,***,,***,,"22,060",,***,,***,,***,,***,,***,,34,,44,,20,,9,,"126,992",,***,,***,,***,,111,,***,,***,,"4,477",
1990100000,1990,12220,Chiba-ken Nagareyama-shi,,"140,059",,"11,066",,***,,575,,***,,***,,***,,"3,141",,***,,***,,***,,***,,***,,12,,15,,8,,5,,"65,982",,***,,***,,***,,51,,***,,***,,"1,958",
1990100000,1990,12221,Chiba-ken Yachiyo-shi,,"148,615",,"10,712",,***,,625,,***,,***,,***,,"4,223",,***,,***,,***,,***,,***,,19,,20,,12,,6,,"73,714",,***,,***,,***,,86,,***,,***,,"2,017",
1990100000,1990,12222,Chiba-ken Abiko-shi,,"120,628",,"9,807",,***,,539,,***,,***,,***,,"3,910",,***,,***,,***,,***,,***,,10,,13,,6,,5,,"57,381",,***,,***,,***,,52,,***,,***,,"1,620",
1990100000,1990,12223,Chiba-ken Kamogawa-shi,,"39,866",,"7,991",,***,,396,,***,,***,,***,,"6,760",,***,,***,,***,,***,,***,,13,,12,,5,,2,,"20,841",,***,,***,,***,,14,,***,,***,,466,
1990100000,1990,12224,Chiba-ken Kamagaya-shi,,"95,052",,"6,510",,***,,370,,***,,***,,***,,"1,963",,***,,***,,***,,***,,***,,10,,9,,5,,2,,"47,324",,***,,***,,***,,34,,***,,***,,"1,157",
1990100000,1990,12225,Chiba-ken Kimitsu-shi,,"89,242",,"9,595",,***,,594,,***,,***,,***,,"10,686",,***,,***,,***,,***,,***,,5,,19,,11,,3,,"44,889",,***,,***,,***,,34,,***,,***,,"1,499",
