YEAR Code,YEAR,AREA Code,AREA,/ITEMS,A1101_Total population (Both sexes)[person],Annotation,A1303_Total population (65 and over)[person],Annotation,A4101_Number of live births[person],Annotation,A4200_Number of deaths[person],Annotation,A5103_Number of in-migrants from other municipalities[person],Annotation,A5104_Number of out-migrants to other municipalities[person],Annotation,B1102_Total land area (Incl. the northern territories and Takeshima)[ha],Annotation,B1103_Inhabitable area[ha],Annotation,"C210710_Number of establishments (Electricity, gas, heat supply and water)[number of establishments]",Annotation,C210712_Number of establishments (Transport and postal activities)[number of establishments],Annotation,C210713_Number of establishments (Wholesale and retail trade)[number of establishments],Annotation,C3109_Area of abandoned cropland[ha],Annotation,D320303_Total welfare expenditure (Municipality)[thousand yen],Annotation,E1101_Number of kindergartens[number of kindergartens],Annotation,E2101_Number of elementary schools[number of schools],Annotation,E3101_Number of lower secondary schools[number of schools],Annotation,E4101_Number of upper secondary schools[number of schools],Annotation,F1102_(Population census) Number of employed persons[person],Annotation,"I1101_Life expectancy (0 years old, Male)[years]",Annotation,"I1102_Life expectancy (0 years old, Female)[years]",Annotation,I5101_Number of hospitals[number of hospitals],Annotation,I5102_Number of general clinics[number of clinics],Annotation,I5103_Number of dental clinics[number of clinics],Annotation,J2301_Number of welfare institutions for the aged (Questionnaire about details)[number of establishments],Annotation,K4201_Number of recognitions of criminal offenses[number of cases],Annotation
2010100000,2010,01100,Hokkaido Sapporo-shi,,"1,913,545",,"391,796",,"14,739",,"15,482",,***,,***,,"112,112",,"44,058",,***,,***,,***,,***,,"315,448,817",,150,,211,,108,,55,,"861,037",,79.79,,86.56,,208,,"1,271",,"1,215",,38,,***,
2010100000,2010,01101,Hokkaido Sapporo-shi Chuo-ku,,"220,189",,"41,250",,"1,751",,"1,679",,***,,***,,"4,642",,"2,509",,***,,***,,***,,***,,-,,16,,17,,11,,8,,"102,765",,80.2,,87,,40,,323,,284,,4,,***,
2010100000,2010,01102,Hokkaido Sapporo-shi Kita-ku,,"278,781",,"55,946",,"2,006",,"2,252",,***,,***,,"6,348",,"6,314",,***,,***,,***,,***,,-,,21,,31,,16,,10,,"119,902",,79.7,,86.2,,24,,176,,167,,4,,***,
2010100000,2010,01103,Hokkaido Sapporo-shi Higashi-ku,,"255,873",,"49,369",,"2,237",,"2,085",,***,,***,,"5,713",,"5,712",,***,,***,,***,,***,,-,,16,,28,,15,,7,,"115,876",,79.3,,86.2,,23,,136,,143,,4,,***,
2010100000,2010,01104,Hokkaido Sapporo-shi Shiroishi-ku,,"204,259",,"38,818",,"1,955",,"1,617",,***,,***,,"3,458",,"3,447",,***,,***,,***,,***,,-,,12,,21,,9,,3,,"97,044",,78.9,,86.3,,23,,95,,109,,4,,***,
2010100000,2010,01105,Hokkaido Sapporo-shi Toyohira-ku,,"212,118",,"42,734",,"1,751",,"1,666",,***,,***,,"4,635",,"3,534",,***,,***,,***,,***,,-,,16,,22,,11,,6,,"98,387",,79.7,,86.4,,18,,129,,128,,4,,***,
2010100000,2010,01106,Hokkaido Sapporo-shi Minami-ku,,"146,341",,"37,555",,834,,"1,484",,***,,***,,"65,723",,"10,625",,***,,***,,***,,***,,-,,19,,24,,11,,6,,"63,792",,79.6,,86.4,,17,,83,,73,,5,,***,
2010100000,2010,01107,Hokkaido Sapporo-shi Nishi-ku,,"211,229",,"45,299",,"1,672",,"1,702",,***,,***,,"7,493",,"3,014",,***,,***,,***,,***,,-,,15,,20,,10,,3,,"96,641",,80.1,,86.7,,23,,127,,122,,3,,***,
2010100000,2010,01108,Hokkaido Sapporo-shi Atsubetsu-ku,,"128,492",,"28,185",,865,,980,,***,,***,,"2,438",,"2,382",,***,,***,,***,,***,,-,,15,,17,,8,,4,,"55,837",,80.6,,87,,14,,79,,62,,2,,***,
2010100000,2010,01109,Hokkaido Sapporo-shi Teine-ku,,"139,644",,"30,087",,916,,"1,166",,***,,***,,"5,692",,"3,568",,***,,***,,***,,***,,-,,10,,16,,9,,4,,"60,776",,80,,87.3,,15,,73,,71,,5,,***,
2010100000,2010,01110,Hokkaido Sapporo-shi Kiyota-ku,,"116,619",,"22,553",,752,,851,,***,,***,,"5,970",,"2,953",,***,,***,,***,,***,,-,,10,,15,,8,,4,,"50,017",,80.4,,86.8,,11,,50,,56,,3,,***,
2010100000,2010,01202,Hokkaido Hakodate-shi,,"279,127",,"76,637",,"1,827",,"3,424",,***,,***,,"67,793",,"13,942",,***,,***,,***,,***,,"51,383,181",,26,,49,,32,,16,,"121,734",,77.5,,85.3,,31,,231,,140,,11,,***,
2010100000,2010,01203,Hokkaido Otaru-shi,,"131,928",,"41,607",,733,,"1,790",,***,,***,,"24,330",,"8,058",,***,,***,,***,,***,,"23,632,522",,16,,27,,15,,8,,"54,510",,78,,86,,16,,94,,85,,4,,***,
2010100000,2010,01204,Hokkaido Asahikawa-shi,,"347,095",,"91,937",,"2,560",,"3,580",,***,,***,,"74,760",,"34,909",,***,,***,,***,,***,,"60,192,864",,32,,56,,30,,15,,"154,253",,79.2,,86.6,,41,,252,,194,,13,,***,
2010100000,2010,01205,Hokkaido Muroran-shi,,"94,535",,"27,699",,645,,"1,221",,***,,***,,"8,065",,"4,326",,***,,***,,***,,***,,"15,931,100",,11,,19,,11,,6,,"39,545",,77.8,,85.3,,7,,56,,51,,5,,***,
2010100000,2010,01206,Hokkaido Kushiro-shi,,"181,169",,"45,737",,"1,334",,"1,919",,***,,***,,"136,275",,"29,069",,***,,***,,***,,***,,"33,985,674",,29,,29,,17,,8,,"79,175",,78.6,,84.8,,18,,81,,98,,12,,***,
2010100000,2010,01207,Hokkaido Obihiro-shi,,"168,057",,"37,544",,"1,366",,"1,461",,***,,***,,"61,894",,"38,060",,***,,***,,***,,***,,"26,944,490",,14,,26,,15,,8,,"79,662",,80.1,,86,,17,,107,,102,,3,,***,
2010100000,2010,01208,Hokkaido Kitami-shi,,"125,689",,"31,872",,901,,"1,244",,***,,***,,"142,756",,"43,102",,***,,***,,***,,***,,"17,953,097",,14,,27,,16,,9,,"58,179",,79.6,,86.7,,15,,64,,57,,5,,***,
