"","year","munCode","mun","totalPop","totalOldPop","births","deaths","totArea","inhabitable","kindergarten","elementary","lowerSecond","upperSecond","employed","percOldPop","birthrate","deathrate","percInhab","percEmpl","education"
"29",2020,"2411","Aomori-ken Rokkasho-mura",10367,2618,56,135,25268,11231,0,4,3,1,6441,25.25320729237,5.40175557056043,13.0220893218868,44.4475225581764,62.1298350535353,8
"30",2020,"2412","Aomori-ken Oirase-cho",24273,6671,188,288,7196,5897,1,5,3,1,12310,27.4832117991184,7.74523132698884,11.8650352243233,81.9483046136743,50.7147859761875,10
"31",2020,"2423","Aomori-ken Oma-machi",4718,1711,28,80,5210,1432,1,2,2,1,2393,36.2653666807969,5.93471810089021,16.9563374311149,27.4856046065259,50.7206443408224,6
"32",2020,"2424","Aomori-ken Higashidori-mura",5955,2117,33,125,29527,6394,0,1,1,0,3206,35.5499580184719,5.54156171284635,20.9907640638119,21.6547566633928,53.8371116708648,2
"33",2020,"2425","Aomori-ken Kazamaura-mura",1636,757,6,48,6955,544,0,1,1,0,829,46.2713936430318,3.66748166259169,29.3398533007335,7.82171099928109,50.6723716381418,2
"34",2020,"2426","Aomori-ken Sai-mura",1788,858,6,42,13504,1669,0,2,2,0,833,47.986577181208,3.35570469798658,23.489932885906,12.3593009478673,46.5883668903803,4
"35",2020,"2441","Aomori-ken Sannohe-machi",9082,3783,44,165,15179,5382,1,3,2,1,4563,41.6538207443294,4.84474785289584,18.1678044483594,35.4568812174715,50.2422373926448,7
"36",2020,"2442","Aomori-ken Gonohe-machi",16042,6467,73,285,17767,8501,2,4,3,1,8517,40.3129285625234,4.55055479366663,17.7658646054108,47.8471323239714,53.0918838050118,10
"37",2020,"2443","Aomori-ken Takko-machi",4968,2182,22,91,24198,4747,1,3,1,1,2732,43.9210950080515,4.42834138486312,18.317230273752,19.6173237457641,54.9919484702093,6
"38",2020,"2445","Aomori-ken Nambu-cho",16809,6725,71,320,15312,7615,1,8,4,1,8812,40.0083288714379,4.22392765780237,19.0374204295318,49.73223615465,52.4242965078232,14
