YEAR Code,YEAR,AREA Code,AREA,/ITEMS,A1101_Total population (Both sexes)[person],Annotation,A1303_Total population (65 and over)[person],Annotation,A4101_Number of live births[person],Annotation,A4200_Number of deaths[person],Annotation,A5103_Number of in-migrants from other municipalities[person],Annotation,A5104_Number of out-migrants to other municipalities[person],Annotation,B1102_Total land area (Incl. the northern territories and Takeshima)[ha],Annotation,B1103_Inhabitable area[ha],Annotation,"C210710_Number of establishments (Electricity, gas, heat supply and water)[number of establishments]",Annotation,C210712_Number of establishments (Transport and postal activities)[number of establishments],Annotation,C210713_Number of establishments (Wholesale and retail trade)[number of establishments],Annotation,C3109_Area of abandoned cropland[ha],Annotation,D320303_Total welfare expenditure (Municipality)[thousand yen],Annotation,E1101_Number of kindergartens[number of kindergartens],Annotation,E2101_Number of elementary schools[number of schools],Annotation,E3101_Number of lower secondary schools[number of schools],Annotation,E4101_Number of upper secondary schools[number of schools],Annotation,F1102_(Population census) Number of employed persons[person],Annotation,"I1101_Life expectancy (0 years old, Male)[years]",Annotation,"I1102_Life expectancy (0 years old, Female)[years]",Annotation,I5101_Number of hospitals[number of hospitals],Annotation,I5102_Number of general clinics[number of clinics],Annotation,I5103_Number of dental clinics[number of clinics],Annotation,J2301_Number of welfare institutions for the aged (Questionnaire about details)[number of establishments],Annotation,K4201_Number of recognitions of criminal offenses[number of cases],Annotation
2020100000,2020,01210,Hokkaido Iwamizawa-shi,,"79,306",,"28,880",,369,,"1,094",,"2,402",,"2,763",,"48,102",,"31,831",,***,,***,,***,,***,,***,,5,,14,,9,,4,,"34,045",,***,,***,,8,,58,,49,,***,,***,
2020100000,2020,01211,Hokkaido Abashiri-shi,,"35,759",,"11,259",,200,,427,,"1,687",,"1,841",,"47,100",,"21,594",,***,,***,,***,,***,,***,,4,,9,,6,,2,,"16,723",,***,,***,,4,,14,,15,,***,,***,
2020100000,2020,01212,Hokkaido Rumoi-shi,,"20,114",,"7,425",,99,,320,,894,,"1,125",,"29,784",,"5,202",,***,,***,,***,,***,,***,,2,,5,,2,,1,,"9,601",,***,,***,,3,,15,,11,,***,,***,
2020100000,2020,01213,Hokkaido Tomakomai-shi,,"170,113",,"50,022",,"1,139",,"1,950",,"5,638",,"5,883",,"56,157",,"20,182",,***,,***,,***,,***,,***,,14,,23,,16,,7,,"76,046",,***,,***,,13,,89,,74,,***,,***,
2020100000,2020,01214,Hokkaido Wakkanai-shi,,"33,563",,"11,025",,187,,448,,"1,292",,"1,623",,"76,147",,"31,932",,***,,***,,***,,***,,***,,5,,11,,7,,2,,"16,459",,***,,***,,3,,16,,11,,***,,***,
2020100000,2020,01215,Hokkaido Bibai-shi,,"20,413",,"8,642",,64,,387,,460,,702,,"27,769",,"15,776",,***,,***,,***,,***,,***,,2,,3,,3,,2,,"9,257",,***,,***,,3,,11,,13,,***,,***,
2020100000,2020,01216,Hokkaido Ashibetsu-shi,,"12,555",,"5,995",,40,,280,,285,,467,,"86,504",,"13,704",,***,,***,,***,,***,,***,,1,,2,,2,,1,,"5,308",,***,,***,,3,,3,,8,,***,,***,
2020100000,2020,01217,Hokkaido Ebetsu-shi,,"121,056",,"36,783",,638,,"1,265",,"5,204",,"4,360",,"18,738",,"16,763",,***,,***,,***,,***,,***,,6,,17,,9,,5,,"53,400",,***,,***,,6,,69,,64,,***,,***,
2020100000,2020,01218,Hokkaido Akabira-shi,,"9,698",,"4,669",,25,,228,,243,,300,,"12,988",,"3,669",,***,,***,,***,,***,,***,,1,,3,,1,,0,,"4,045",,***,,***,,2,,3,,5,,***,,***,
2020100000,2020,01219,Hokkaido Mombetsu-shi,,"21,215",,"7,697",,91,,336,,716,,891,,"83,067",,"17,451",,***,,***,,***,,***,,***,,1,,6,,3,,1,,"9,688",,***,,***,,5,,7,,10,,***,,***,
