YEAR Code,YEAR,AREA Code,AREA,/ITEMS,A1101_Total population (Both sexes)[person],Annotation,A1303_Total population (65 and over)[person],Annotation,A4101_Number of live births[person],Annotation,A4200_Number of deaths[person],Annotation,A5103_Number of in-migrants from other municipalities[person],Annotation,A5104_Number of out-migrants to other municipalities[person],Annotation,B1102_Total land area (Incl. the northern territories and Takeshima)[ha],Annotation,B1103_Inhabitable area[ha],Annotation,"C210710_Number of establishments (Electricity, gas, heat supply and water)[number of establishments]",Annotation,C210712_Number of establishments (Transport and postal activities)[number of establishments],Annotation,C210713_Number of establishments (Wholesale and retail trade)[number of establishments],Annotation,C3109_Area of abandoned cropland[ha],Annotation,D320303_Total welfare expenditure (Municipality)[thousand yen],Annotation,E1101_Number of kindergartens[number of kindergartens],Annotation,E2101_Number of elementary schools[number of schools],Annotation,E3101_Number of lower secondary schools[number of schools],Annotation,E4101_Number of upper secondary schools[number of schools],Annotation,F1102_(Population census) Number of employed persons[person],Annotation,"I1101_Life expectancy (0 years old, Male)[years]",Annotation,"I1102_Life expectancy (0 years old, Female)[years]",Annotation,I5101_Number of hospitals[number of hospitals],Annotation,I5102_Number of general clinics[number of clinics],Annotation,I5103_Number of dental clinics[number of clinics],Annotation,J2301_Number of welfare institutions for the aged (Questionnaire about details)[number of establishments],Annotation,K4201_Number of recognitions of criminal offenses[number of cases],Annotation
2000100000,2000,01100,Hokkaido Sapporo-shi,,"1,822,368",,"262,751",,"15,332",,"10,800",,***,,***,,"112,112",,"44,058",,***,,***,,***,,***,,"201,693,330",,151,,213,,108,,55,,"851,060",,***,,***,,221,,"1,176",,"1,122",,211,,-,
2000100000,2000,01101,Hokkaido Sapporo-shi Chuo-ku,,"181,383",,"29,103",,"1,319",,"1,238",,***,,***,,"4,642",,"2,509",,***,,***,,***,,***,,-,,17,,20,,11,,9,,"84,720",,***,,***,,41,,298,,269,,16,,-,
2000100000,2000,01102,Hokkaido Sapporo-shi Kita-ku,,"260,114",,"36,237",,"1,947",,"1,447",,***,,***,,"6,348",,"6,314",,***,,***,,***,,***,,-,,21,,29,,15,,9,,"119,172",,***,,***,,30,,148,,154,,26,,-,
2000100000,2000,01103,Hokkaido Sapporo-shi Higashi-ku,,"248,950",,"34,228",,"2,569",,"1,430",,***,,***,,"5,713",,"5,712",,***,,***,,***,,***,,-,,16,,28,,15,,7,,"119,457",,***,,***,,26,,139,,124,,27,,-,
2000100000,2000,01104,Hokkaido Sapporo-shi Shiroishi-ku,,"197,223",,"26,473",,"1,967",,"1,175",,***,,***,,"3,458",,"3,447",,***,,***,,***,,***,,-,,12,,21,,9,,3,,"97,732",,***,,***,,23,,95,,106,,23,,-,
2000100000,2000,01105,Hokkaido Sapporo-shi Toyohira-ku,,"204,700",,"29,488",,"1,823",,"1,207",,***,,***,,"4,635",,"3,534",,***,,***,,***,,***,,-,,17,,22,,11,,6,,"98,811",,***,,***,,18,,137,,112,,16,,-,
2000100000,2000,01106,Hokkaido Sapporo-shi Minami-ku,,"156,787",,"25,973",,"1,109",,"1,026",,***,,***,,"65,723",,"10,625",,***,,***,,***,,***,,-,,18,,25,,12,,6,,"70,282",,***,,***,,17,,75,,72,,20,,-,
2000100000,2000,01107,Hokkaido Sapporo-shi Nishi-ku,,"199,385",,"30,308",,"1,724",,"1,190",,***,,***,,"7,493",,"3,014",,***,,***,,***,,***,,-,,15,,20,,10,,3,,"94,456",,***,,***,,24,,108,,119,,19,,-,
2000100000,2000,01108,Hokkaido Sapporo-shi Atsubetsu-ku,,"127,718",,"17,649",,"1,065",,674,,***,,***,,"2,438",,"2,382",,***,,***,,***,,***,,-,,15,,17,,8,,4,,"56,664",,***,,***,,14,,76,,60,,17,,-,
2000100000,2000,01109,Hokkaido Sapporo-shi Teine-ku,,"136,006",,"19,489",,"1,025",,768,,***,,***,,"5,692",,"3,568",,***,,***,,***,,***,,-,,10,,16,,9,,4,,"61,001",,***,,***,,15,,59,,58,,25,,-,
2000100000,2000,01110,Hokkaido Sapporo-shi Kiyota-ku,,"110,102",,"13,803",,784,,645,,***,,***,,"5,970",,"2,953",,***,,***,,***,,***,,-,,10,,15,,8,,4,,"48,765",,***,,***,,13,,41,,48,,22,,-,
2000100000,2000,01202,Hokkaido Hakodate-shi,,"305,311",,"61,855",,"2,272",,"2,980",,***,,***,,"67,748",,"13,897",,***,,***,,***,,***,,"36,964,423",,29,,55,,34,,18,,"139,030",,***,,***,,36,,256,,151,,80,,-,
2000100000,2000,01203,Hokkaido Otaru-shi,,"150,687",,"35,253",,973,,"1,526",,***,,***,,"24,313",,"8,041",,***,,***,,***,,***,,"22,012,485",,17,,28,,17,,8,,"68,553",,***,,***,,21,,114,,93,,23,,-,
2000100000,2000,01204,Hokkaido Asahikawa-shi,,"359,536",,"65,866",,"2,932",,"2,612",,***,,***,,"74,760",,"34,909",,***,,***,,***,,***,,"38,792,525",,34,,61,,36,,15,,"172,038",,***,,***,,44,,257,,195,,52,,-,
2000100000,2000,01205,Hokkaido Muroran-shi,,"103,278",,"22,088",,759,,942,,***,,***,,"8,064",,"4,325",,***,,***,,***,,***,,"12,047,253",,16,,22,,12,,7,,"45,584",,***,,***,,7,,66,,53,,17,,-,
2000100000,2000,01206,Hokkaido Kushiro-shi,,"201,566",,"34,115",,"1,670",,"1,531",,***,,***,,"136,238",,"29,073",,***,,***,,***,,***,,"21,349,035",,32,,35,,19,,10,,"94,799",,***,,***,,20,,91,,104,,44,,-,
2000100000,2000,01207,Hokkaido Obihiro-shi,,"173,030",,"26,450",,"1,767",,"1,082",,***,,***,,"61,894",,"38,060",,***,,***,,***,,***,,"16,091,850",,14,,26,,15,,8,,"86,976",,***,,***,,20,,108,,98,,26,,-,
2000100000,2000,01208,Hokkaido Kitami-shi,,"132,125",,"23,640",,"1,195",,986,,***,,***,,"142,756",,"43,102",,***,,***,,***,,***,,"11,209,896",,15,,31,,17,,9,,"66,113",,***,,***,,15,,54,,59,,32,,-,
2000100000,2000,01209,Hokkaido Yubari-shi,,"14,791",,"4,969",,65,,190,,***,,***,,"76,336",,"9,538",,***,,***,,***,,***,,"2,753,604",,1,,8,,5,,2,,"6,402",,***,,***,,1,,8,,6,,5,,-,
2000100000,2000,01210,Hokkaido Iwamizawa-shi,,"96,302",,"19,793",,700,,854,,***,,***,,"48,110",,"31,880",,***,,***,,***,,***,,"8,494,973",,7,,15,,10,,5,,"44,884",,***,,***,,9,,56,,50,,15,,-,
2000100000,2000,01211,Hokkaido Abashiri-shi,,"43,395",,"7,322",,407,,291,,***,,***,,"47,088",,"22,015",,***,,***,,***,,***,,"3,666,372",,6,,12,,6,,3,,"21,834",,***,,***,,5,,14,,13,,11,,-,
2000100000,2000,01212,Hokkaido Rumoi-shi,,"28,325",,"5,282",,246,,210,,***,,***,,"29,730",,"4,995",,***,,***,,***,,***,,"2,428,903",,2,,10,,4,,2,,"14,515",,***,,***,,3,,17,,16,,5,,-,
2000100000,2000,01213,Hokkaido Tomakomai-shi,,"172,086",,"25,397",,"1,570",,"1,096",,***,,***,,"56,110",,"19,308",,***,,***,,***,,***,,"18,499,399",,21,,21,,15,,7,,"82,526",,***,,***,,14,,95,,79,,24,,-,
2000100000,2000,01214,Hokkaido Wakkanai-shi,,"43,774",,"7,552",,401,,331,,***,,***,,"76,080",,"31,338",,***,,***,,***,,***,,"3,782,343",,8,,23,,16,,3,,"23,557",,***,,***,,3,,19,,13,,12,,-,
2000100000,2000,01215,Hokkaido Bibai-shi,,"31,183",,"7,820",,193,,339,,***,,***,,"27,761",,"15,656",,***,,***,,***,,***,,"4,406,361",,5,,8,,6,,4,,"13,993",,***,,***,,5,,7,,14,,8,,-,
2000100000,2000,01216,Hokkaido Ashibetsu-shi,,"21,026",,"6,001",,130,,272,,***,,***,,"86,507",,"13,805",,***,,***,,***,,***,,"2,927,052",,2,,8,,3,,2,,"9,144",,***,,***,,3,,11,,8,,5,,-,
2000100000,2000,01217,Hokkaido Ebetsu-shi,,"123,877",,"18,832",,889,,760,,***,,***,,"18,757",,"16,744",,***,,***,,***,,***,,"9,712,243",,13,,19,,11,,5,,"53,595",,***,,***,,5,,49,,60,,24,,-,
2000100000,2000,01218,Hokkaido Akabira-shi,,"15,753",,"4,709",,98,,216,,***,,***,,"12,988",,"3,429",,***,,***,,***,,***,,"2,542,073",,2,,8,,4,,1,,"6,475",,***,,***,,2,,8,,6,,6,,-,
2000100000,2000,01219,Hokkaido Mombetsu-shi,,"28,476",,"5,794",,241,,263,,***,,***,,"83,036",,"17,202",,***,,***,,***,,***,,"3,071,241",,3,,10,,4,,2,,"14,529",,***,,***,,4,,11,,12,,5,,-,
2000100000,2000,01220,Hokkaido Shibetsu-shi,,"24,991",,"6,197",,193,,237,,***,,***,,"111,929",,"29,567",,***,,***,,***,,***,,"2,772,925",,3,,11,,6,,3,,"12,796",,***,,***,,1,,15,,11,,12,,-,
2000100000,2000,01221,Hokkaido Nayoro-shi,,"33,328",,"7,119",,295,,292,,***,,***,,"53,523",,"19,625",,***,,***,,***,,***,,"3,094,478",,5,,11,,5,,5,,"17,110",,***,,***,,4,,11,,15,,10,,-,
2000100000,2000,01222,Hokkaido Mikasa-shi,,"13,561",,"4,623",,48,,189,,***,,***,,"30,264",,"5,428",,***,,***,,***,,***,,"2,427,171",,2,,6,,4,,1,,"5,133",,***,,***,,3,,6,,5,,6,,-,
2000100000,2000,01223,Hokkaido Nemuro-shi,,"33,150",,"5,977",,279,,301,,***,,***,,"51,264",,"20,313",,***,,***,,***,,***,,"3,319,043",,4,,13,,7,,2,,"17,848",,***,,***,,4,,11,,13,,10,,-,
2000100000,2000,01224,Hokkaido Chitose-shi,,"88,897",,"10,437",,999,,474,,***,,***,,"59,495",,"19,374",,***,,***,,***,,***,,"6,115,632",,10,,18,,10,,2,,"45,165",,***,,***,,8,,48,,37,,9,,-,
2000100000,2000,01225,Hokkaido Takikawa-shi,,"46,861",,"9,356",,388,,411,,***,,***,,"11,582",,"10,190",,***,,***,,***,,***,,"4,988,653",,4,,7,,4,,3,,"22,356",,***,,***,,6,,27,,26,,10,,-,
2000100000,2000,01226,Hokkaido Sunagawa-shi,,"21,072",,"4,972",,167,,190,,***,,***,,"7,869",,"4,913",,***,,***,,***,,***,,"2,077,487",,1,,5,,2,,2,,"9,536",,***,,***,,2,,10,,9,,7,,-,
