YEAR Code,YEAR,AREA Code,AREA,/ITEMS,A1101_Total population (Both sexes)[person],Annotation,A1303_Total population (65 and over)[person],Annotation,A4101_Number of live births[person],Annotation,A4200_Number of deaths[person],Annotation,A5103_Number of in-migrants from other municipalities[person],Annotation,A5104_Number of out-migrants to other municipalities[person],Annotation,B1102_Total land area (Incl. the northern territories and Takeshima)[ha],Annotation,B1103_Inhabitable area[ha],Annotation,"C210710_Number of establishments (Electricity, gas, heat supply and water)[number of establishments]",Annotation,C210712_Number of establishments (Transport and postal activities)[number of establishments],Annotation,C210713_Number of establishments (Wholesale and retail trade)[number of establishments],Annotation,C3109_Area of abandoned cropland[ha],Annotation,D320303_Total welfare expenditure (Municipality)[thousand yen],Annotation,E1101_Number of kindergartens[number of kindergartens],Annotation,E2101_Number of elementary schools[number of schools],Annotation,E3101_Number of lower secondary schools[number of schools],Annotation,E4101_Number of upper secondary schools[number of schools],Annotation,F1102_(Population census) Number of employed persons[person],Annotation,"I1101_Life expectancy (0 years old, Male)[years]",Annotation,"I1102_Life expectancy (0 years old, Female)[years]",Annotation,I5101_Number of hospitals[number of hospitals],Annotation,I5102_Number of general clinics[number of clinics],Annotation,I5103_Number of dental clinics[number of clinics],Annotation,J2301_Number of welfare institutions for the aged (Questionnaire about details)[number of establishments],Annotation,K4201_Number of recognitions of criminal offenses[number of cases],Annotation
1980100000,1980,35502,Yamaguchi-ken Abu-cho,,"6,272",,"1,172",,***,,78,,***,,***,,***,,***,,***,,***,,***,,***,,***,,0,,3,,3,,1,,"3,610",,***,,***,,***,,-,,***,,***,,15,
1980100000,1980,36201,Tokushima-ken Tokushima-shi,,"249,343",,"24,017",,***,,"1,688",,***,,***,,***,,***,,***,,***,,***,,***,,***,,36,,34,,18,,14,,"118,559",,***,,***,,***,,255,,***,,***,,"4,455",
1980100000,1980,36202,Tokushima-ken Naruto-shi,,"63,423",,"7,783",,***,,544,,***,,***,,***,,***,,***,,***,,***,,***,,***,,22,,19,,6,,4,,"31,565",,***,,***,,***,,43,,***,,***,,613,
1980100000,1980,36203,Tokushima-ken Komatsushima-shi,,"43,636",,"4,468",,***,,293,,***,,***,,***,,***,,***,,***,,***,,***,,***,,11,,11,,3,,2,,"20,958",,***,,***,,***,,30,,***,,***,,660,
1980100000,1980,36204,Tokushima-ken Anan-shi,,"82,715",,"9,555",,***,,660,,***,,***,,***,,***,,***,,***,,***,,***,,***,,17,,28,,11,,6,,"40,958",,***,,***,,***,,53,,***,,***,,776,
1980100000,1980,36205,Tokushima-ken Yoshinogawa-shi,,"48,677",,"6,596",,***,,464,,***,,***,,***,,***,,***,,***,,***,,***,,***,,19,,19,,5,,2,,"23,968",,***,,***,,***,,40,,***,,***,,564,
1980100000,1980,36206,Tokushima-ken Awa-shi,,"43,823",,"5,845",,***,,404,,***,,***,,***,,***,,***,,***,,***,,***,,***,,12,,14,,5,,3,,"22,423",,***,,***,,***,,27,,***,,***,,285,
1980100000,1980,36207,Tokushima-ken Mima-shi,,"41,642",,"6,079",,***,,467,,***,,***,,***,,***,,***,,***,,***,,***,,***,,26,,32,,12,,5,,"20,096",,***,,***,,***,,23,,***,,***,,351,
1980100000,1980,36208,Tokushima-ken Miyoshi-shi,,"47,057",,"7,428",,***,,504,,***,,***,,***,,***,,***,,***,,***,,***,,***,,29,,46,,8,,4,,"23,482",,***,,***,,***,,36,,***,,***,,431,
1980100000,1980,36301,Tokushima-ken Katsuura-cho,,"7,811",,"1,143",,***,,92,,***,,***,,***,,***,,***,,***,,***,,***,,***,,1,,3,,1,,1,,"4,195",,***,,***,,***,,3,,***,,***,,33,
1980100000,1980,36302,Tokushima-ken Kamikatsu-cho,,"2,918",,546,,***,,34,,***,,***,,***,,***,,***,,***,,***,,***,,***,,4,,4,,2,,0,,"1,712",,***,,***,,***,,3,,***,,***,,4,
1980100000,1980,36321,Tokushima-ken Sanagouchi-son,,"3,828",,625,,***,,47,,***,,***,,***,,***,,***,,***,,***,,***,,***,,0,,1,,1,,1,,"2,201",,***,,***,,***,,2,,***,,***,,5,
1980100000,1980,36341,Tokushima-ken Ishii-cho,,"24,434",,"2,847",,***,,180,,***,,***,,***,,***,,***,,***,,***,,***,,***,,6,,6,,2,,1,,"11,969",,***,,***,,***,,16,,***,,***,,222,
1980100000,1980,36342,Tokushima-ken Kamiyama-cho,,"11,156",,"1,965",,***,,138,,***,,***,,***,,***,,***,,***,,***,,***,,***,,6,,9,,3,,1,,"6,328",,***,,***,,***,,10,,***,,***,,54,
1980100000,1980,36368,Tokushima-ken Naka-cho,,"14,360",,"2,239",,***,,124,,***,,***,,***,,***,,***,,***,,***,,***,,***,,5,,12,,6,,3,,"7,988",,***,,***,,***,,11,,***,,***,,61,
1980100000,1980,36383,Tokushima-ken Mugi-cho,,"7,697",,"1,247",,***,,88,,***,,***,,***,,***,,***,,***,,***,,***,,***,,0,,3,,1,,0,,"3,656",,***,,***,,***,,6,,***,,***,,37,
1980100000,1980,36387,Tokushima-ken Minami-cho,,"11,866",,"2,112",,***,,162,,***,,***,,***,,***,,***,,***,,***,,***,,***,,3,,7,,4,,2,,"5,562",,***,,***,,***,,6,,***,,***,,93,
1980100000,1980,36388,Tokushima-ken Kaiyo-cho,,"14,397",,"2,511",,***,,145,,***,,***,,***,,***,,***,,***,,***,,***,,***,,4,,9,,3,,2,,"7,002",,***,,***,,***,,7,,***,,***,,110,
1980100000,1980,36401,Tokushima-ken Matsushige-cho,,"10,196",,927,,***,,116,,***,,***,,***,,***,,***,,***,,***,,***,,***,,4,,3,,1,,0,,"4,869",,***,,***,,***,,6,,***,,***,,133,
